City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Llanes,ES,48.18,scattered clouds,43.4198,-4.7549,Hotel La Paz
6,Rikitea,PF,74.17,scattered clouds,-23.1203,-134.9692,People ThankYou
8,Busselton,AU,71.85,overcast clouds,-33.65,115.3333,Observatory Guest House
11,Mataura,NZ,46.13,broken clouds,-46.1927,168.8643,Ellie's Villa
13,Albany,US,47.57,clear sky,42.6001,-73.9662,
14,Newport,GB,49.77,overcast clouds,51.5877,-2.9984,ibis budget Newport
15,Fortuna,US,55.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
16,Korla,CN,56.84,broken clouds,41.7597,86.1469,Gulisitan Hotel
17,Kapaa,US,72.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Glodeni,MD,48.81,overcast clouds,47.7708,27.5144,Sharm Hotel
19,Ponta Do Sol,PT,64.13,broken clouds,32.6667,-17.1,Hotel do Campo
21,Cape Town,ZA,69.35,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Talcahuano,CL,62.28,overcast clouds,-36.7167,-73.1167,departamento comodo
24,Lakes Entrance,AU,60.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
25,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
27,Mersing,MY,73.31,moderate rain,2.4312,103.8405,Timotel Hotel
29,Superior,US,42.62,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
30,Punta Arenas,CL,44.62,light intensity drizzle,-53.15,-70.9167,Hotel Hain
31,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
32,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
35,Ushuaia,AR,38.86,drizzle,-54.8,-68.3,Albatross Hotel
36,Lebu,CL,59.88,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
38,East London,ZA,63.54,broken clouds,-33.0153,27.9116,Tu Casa
40,Ketchikan,US,42.78,light rain,55.3422,-131.6461,Snow's Cove Lodge
42,Bredasdorp,ZA,62.62,light rain,-34.5322,20.0403,Bredasdorp Country Manor
44,New Norfolk,AU,54.9,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Aizkraukle,LV,31.42,broken clouds,56.6048,25.2553,Brīvdienu Māja Trīs istabas
51,Airai,TL,57.52,few clouds,-8.9266,125.4092,
52,Abu Samrah,SY,69.75,clear sky,35.3029,37.1841,
53,Torbay,CA,43.75,overcast clouds,47.6666,-52.7314,Gallows Cove
55,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
56,Socorro,US,74.28,clear sky,31.6546,-106.3033,guarderia imss papalote
58,Dongsheng,CN,38.79,clear sky,39.8161,109.9776,Crowne Plaza Ordos
59,Chumikan,RU,34.27,overcast clouds,54.7183,135.315,Fortuna
61,Olginskaya,RU,63.93,broken clouds,47.1879,39.9492,Zelenaya Pristan'
62,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
63,Teguise,ES,62.82,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
67,Rio Gallegos,AR,51.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
68,Souillac,MU,73.78,heavy intensity rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
69,Show Low,US,62.08,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
70,Curup,ID,66.94,moderate rain,-3.4667,102.5333,Ayi The Costel
73,Vilcun,CL,54.34,overcast clouds,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
74,Victoria,HK,61.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
75,Port Lincoln,AU,60.24,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
76,Anshun,CN,43.61,clear sky,26.25,105.9333,安顺麦吉风格酒店
77,Namibe,AO,72.25,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
79,Yudong,CN,55.99,scattered clouds,29.385,106.5194,Manyue Condo Hotel
81,Bethel,US,50.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
82,Nanning,CN,57.65,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
87,Kruisfontein,ZA,61.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
88,Andenes,NO,30.92,broken clouds,69.3143,16.1194,Hotell Marena
89,Medea,DZ,44.2,scattered clouds,36.2642,2.7539,Hôtel M'Sallah
90,Chiang Klang,TH,69.08,broken clouds,19.2938,100.8617,Sangthong Resort
91,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
96,Wanaka,NZ,46.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
100,Paamiut,GL,34.36,overcast clouds,61.994,-49.6678,Pistut
101,Yulara,AU,59.02,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
102,Husavik,IS,37.78,overcast clouds,66.0449,-17.3389,Bjarnabúð
103,Plettenberg Bay,ZA,61.52,light rain,-34.0527,23.3716,Thanda Vista B&B
104,Griffith,US,45.27,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
105,Greensburg,US,49.24,clear sky,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
108,Kaitangata,NZ,48.69,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
109,Shchigry,RU,53.42,broken clouds,51.8755,36.9043,Базилик Щигры
110,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
111,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
114,Ulety,RU,33.13,broken clouds,51.3572,112.4849,
116,Rostock,DE,39.92,broken clouds,54.0887,12.1405,Das Hotel an der Stadthalle
117,Saurimo,AO,69.55,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
118,Ivankiv,UA,34.36,overcast clouds,50.9386,29.8943,Ekohospresurs
119,Ilulissat,GL,33.82,few clouds,69.2167,-51.1,Hotel Arctic
121,Muriwai Beach,NZ,63.86,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
124,Pacific Grove,US,58.39,mist,36.6177,-121.9166,Lovers Point Inn
125,Vani,GE,69.49,clear sky,42.0832,42.5216,სასტუმრო ამირანი
131,Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
134,Agrafa,GR,43.07,overcast clouds,39.136,21.6494,Kyra Niki
135,Hilo,US,69.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
138,Nikolskoye,RU,31.89,scattered clouds,59.7035,30.7861,Tourist House - Sablino
141,Castro,BR,65.3,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
142,Bahia Blanca,AR,71.26,clear sky,-38.7196,-62.2724,Hotel Argos
143,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
145,Tramandai,BR,71.71,clear sky,-29.9847,-50.1336,Hotel Da Praia
146,Arahal,ES,64.42,broken clouds,37.1864,-5.5549,Villa periya
147,Muros,ES,59.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
148,Narsaq,GL,41.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
149,Vila,PT,49.08,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
151,Rantepao,ID,65.79,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
