City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,1.24,60,20,9.22,few clouds
1,Llanes,ES,43.4198,-4.7549,48.18,59,41,7.83,scattered clouds
2,Samarai,PG,-10.6167,150.6667,78.69,83,99,7.92,moderate rain
3,Yellowknife,CA,62.456,-114.3525,0.28,61,75,4.61,broken clouds
4,Butaritari,KI,3.0707,172.7902,81.39,75,42,14.9,scattered clouds
5,Urucui,BR,-7.2294,-44.5561,86.97,60,77,8.03,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,74.17,57,48,8.19,scattered clouds
7,Kargasok,RU,59.0556,80.8572,9.12,94,12,5.17,few clouds
8,Busselton,AU,-33.65,115.3333,71.85,73,98,5.5,overcast clouds
9,Sambava,MG,-14.2667,50.1667,77.9,87,53,12.75,light rain
10,Chokurdakh,RU,70.6333,147.9167,-5.3,93,100,5.64,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,46.13,98,68,2.35,broken clouds
12,Saskylakh,RU,71.9167,114.0833,1.58,97,99,10.07,overcast clouds
13,Albany,US,42.6001,-73.9662,47.57,41,4,5.99,clear sky
14,Newport,GB,51.5877,-2.9984,49.77,57,87,5.73,overcast clouds
15,Fortuna,US,40.5982,-124.1573,55.92,79,20,10.36,few clouds
16,Korla,CN,41.7597,86.1469,56.84,30,65,1.57,broken clouds
17,Kapaa,US,22.0752,-159.319,72.48,96,75,19.57,light rain
18,Glodeni,MD,47.7708,27.5144,48.81,61,100,13.71,overcast clouds
19,Ponta Do Sol,PT,32.6667,-17.1,64.13,76,82,7.9,broken clouds
20,Atuona,PF,-9.8,-139.0333,78.67,75,6,15.12,clear sky
21,Cape Town,ZA,-33.9258,18.4232,69.35,67,3,8.01,clear sky
22,Barwala,IN,29.3833,75.9167,82.6,7,0,4.65,clear sky
23,Talcahuano,CL,-36.7167,-73.1167,62.28,82,100,10.36,overcast clouds
24,Lakes Entrance,AU,-37.8811,147.981,60.17,94,100,13.04,overcast clouds
25,Avarua,CK,-21.2078,-159.775,73.45,94,85,2.3,overcast clouds
26,Chara,RU,56.9064,118.2631,18.46,91,100,0.78,overcast clouds
27,Mersing,MY,2.4312,103.8405,73.31,94,4,13.8,moderate rain
28,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.3,69,65,6.2,broken clouds
29,Superior,US,46.7208,-92.1041,42.62,76,100,12.66,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,44.62,93,100,13.8,light intensity drizzle
31,Port Alfred,ZA,-33.5906,26.891,64.18,89,100,14.7,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,62.8,70,93,18.01,overcast clouds
33,Camacha,PT,33.0833,-16.3333,62.02,63,20,11.5,few clouds
34,San Antonio,US,29.4241,-98.4936,85.98,53,0,6.91,clear sky
35,Ushuaia,AR,-54.8,-68.3,38.86,93,100,2.3,drizzle
36,Lebu,CL,-37.6167,-73.65,59.88,91,98,6.89,overcast clouds
37,Fomboni,KM,-12.28,43.7425,82.62,70,15,1.57,few clouds
38,East London,ZA,-33.0153,27.9116,63.54,100,75,3.44,broken clouds
39,Miramar,US,25.9873,-80.2323,90.01,65,40,12.66,scattered clouds
40,Ketchikan,US,55.3422,-131.6461,42.78,93,100,17.27,light rain
41,Umm Lajj,SA,25.0213,37.2685,82.56,39,35,7.72,scattered clouds
42,Bredasdorp,ZA,-34.5322,20.0403,62.62,69,87,14.41,light rain
43,Kavieng,PG,-2.5744,150.7967,76.57,89,100,5.12,moderate rain
44,New Norfolk,AU,-42.7826,147.0587,54.9,68,72,1.39,broken clouds
45,Iqaluit,CA,63.7506,-68.5145,26.33,79,75,10.0,broken clouds
46,Vaini,TO,-21.2,-175.2,79.79,75,76,5.53,light rain
47,Aizkraukle,LV,56.6048,25.2553,31.42,56,84,7.83,broken clouds
48,Cockburn Town,TC,21.4612,-71.1419,77.99,74,0,16.75,clear sky
49,Barrow,US,71.2906,-156.7887,-11.18,77,0,13.8,haze
50,Tiksi,RU,71.6872,128.8694,-5.48,100,99,3.04,overcast clouds
51,Airai,TL,-8.9266,125.4092,57.52,83,19,1.39,few clouds
52,Abu Samrah,SY,35.3029,37.1841,69.75,43,0,2.3,clear sky
53,Torbay,CA,47.6666,-52.7314,43.75,92,100,23.02,overcast clouds
54,Magadan,RU,59.5667,150.8,7.54,81,100,5.79,overcast clouds
55,Antofagasta,CL,-23.65,-70.4,72.21,49,5,8.43,clear sky
56,Socorro,US,31.6546,-106.3033,74.28,20,0,8.05,clear sky
57,El Alto,PE,-4.2714,-81.2147,83.86,69,92,11.56,overcast clouds
58,Dongsheng,CN,39.8161,109.9776,38.79,28,0,8.95,clear sky
59,Chumikan,RU,54.7183,135.315,34.27,76,96,20.09,overcast clouds
60,San Patricio,US,28.017,-97.5169,81.88,62,90,8.1,overcast clouds
61,Olginskaya,RU,47.1879,39.9492,63.93,52,60,13.35,broken clouds
62,Hobart,AU,-42.8794,147.3294,55.26,84,100,8.05,overcast clouds
63,Teguise,ES,29.0605,-13.564,62.82,68,40,6.91,scattered clouds
64,Dikson,RU,73.5069,80.5464,-5.46,100,95,7.52,overcast clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,85.96,90,31,5.99,scattered clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,75,10.36,broken clouds
67,Rio Gallegos,AR,-51.6226,-69.2181,51.85,66,75,21.85,broken clouds
68,Souillac,MU,-20.5167,57.5167,73.78,100,75,3.44,heavy intensity rain
69,Show Low,US,34.2542,-110.0298,62.08,31,0,12.66,clear sky
70,Curup,ID,-3.4667,102.5333,66.94,97,91,1.34,moderate rain
71,Soure,BR,-0.7167,-48.5233,82.62,74,38,7.99,scattered clouds
72,Soyo,AO,-6.1349,12.3689,78.49,88,100,9.55,light rain
73,Vilcun,CL,-38.65,-72.2333,54.34,54,90,6.02,overcast clouds
74,Victoria,HK,22.2855,114.1577,61.32,72,100,8.01,overcast clouds
75,Port Lincoln,AU,-34.7333,135.8667,60.24,79,80,10.51,broken clouds
76,Anshun,CN,26.25,105.9333,43.61,80,5,3.42,clear sky
77,Namibe,AO,-15.1961,12.1522,72.25,81,95,9.28,overcast clouds
78,Saint-Philippe,RE,-21.3585,55.7679,75.22,97,100,21.16,very heavy rain
79,Yudong,CN,29.385,106.5194,55.99,99,29,2.55,scattered clouds
80,Faanui,PF,-16.4833,-151.75,81.93,72,100,5.97,overcast clouds
81,Bethel,US,41.3712,-73.414,50.63,47,0,10.36,clear sky
82,Nanning,CN,22.8167,108.3167,57.65,66,99,2.77,overcast clouds
83,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
84,Port Blair,IN,11.6667,92.75,82.08,77,36,7.54,scattered clouds
85,Rawson,AR,-43.3002,-65.1023,79.23,22,54,13.2,broken clouds
86,Ixtapa,MX,20.7,-105.2,84.18,41,50,6.2,scattered clouds
87,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,72,6.85,light rain
88,Andenes,NO,69.3143,16.1194,30.92,80,75,21.85,broken clouds
89,Medea,DZ,36.2642,2.7539,44.2,60,30,5.82,scattered clouds
90,Chiang Klang,TH,19.2938,100.8617,69.08,74,75,3.47,broken clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,69.82,59,0,24.0,clear sky
92,Amapa,BR,1.0,-52.0,79.81,93,82,4.43,broken clouds
93,Alofi,NU,-19.0595,-169.9187,71.49,100,94,1.14,overcast clouds
94,Hithadhoo,MV,-0.6,73.0833,83.32,68,16,4.47,few clouds
95,Kulhudhuffushi,MV,6.6221,73.07,83.62,70,42,4.45,scattered clouds
96,Wanaka,NZ,-44.7,169.15,46.11,88,0,2.64,clear sky
97,Beni Suef,EG,29.0731,31.0979,83.62,7,95,10.58,overcast clouds
98,Avanigadda,IN,16.0215,80.9181,79.48,83,7,9.08,clear sky
99,Hohoe,GH,7.1518,0.4736,87.58,60,95,3.91,light rain
100,Paamiut,GL,61.994,-49.6678,34.36,85,97,1.5,overcast clouds
101,Yulara,AU,-25.2406,130.9889,59.02,41,3,8.48,clear sky
102,Husavik,IS,66.0449,-17.3389,37.78,95,100,3.94,overcast clouds
103,Plettenberg Bay,ZA,-34.0527,23.3716,61.52,88,80,5.77,light rain
104,Griffith,US,41.5284,-87.4237,45.27,68,100,13.8,overcast clouds
