City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
0,Saint George,US,2022-03-30 18:38:49,37.1041,-113.5841,67.62,44,0
1,Okhotsk,RU,2022-03-30 18:38:49,59.3833,143.3,-1.34,91,36
2,Lensk,RU,2022-03-30 18:38:50,60.7253,114.9278,19.15,96,100
3,Guerrero Negro,MX,2022-03-30 18:38:50,27.9769,-114.0611,65.35,59,2
4,Albany,US,2022-03-30 18:36:03,42.6001,-73.9662,43.03,26,100
5,Thompson,CA,2022-03-30 18:36:32,55.7435,-97.8558,28.56,46,20
6,Mataura,NZ,2022-03-30 18:38:38,-46.1927,168.8643,51.03,99,97
7,Vardo,NO,2022-03-30 18:38:51,70.3705,31.1107,30.18,74,40
8,Puerto Ayora,EC,2022-03-30 18:34:21,-0.7393,-90.3518,87.76,88,100
9,Puerto Escondido,MX,2022-03-30 18:37:57,15.85,-97.0667,85.03,70,0
10,Richards Bay,ZA,2022-03-30 18:38:52,-28.783,32.0377,75.43,78,8
11,Tucuma,BR,2022-03-30 18:34:58,-0.1833,-50.05,73.83,96,100
12,Butaritari,KI,2022-03-30 18:38:53,3.0707,172.7902,80.96,62,10
13,Coquimbo,CL,2022-03-30 18:38:53,-29.9533,-71.3436,66.76,64,0
14,Nishihara,JP,2022-03-30 18:38:54,26.1842,127.7558,72.68,94,75
15,Upernavik,GL,2022-03-30 18:38:29,72.7868,-56.1549,18.32,85,9
16,Yamada,JP,2022-03-30 18:38:54,39.4667,141.95,42.89,94,100
17,Mar Del Plata,AR,2022-03-30 18:38:55,-38.0023,-57.5575,59.02,63,40
18,Mahebourg,MU,2022-03-30 18:38:55,-20.4081,57.7,77.29,88,75
19,Camapua,BR,2022-03-30 18:35:40,-19.5314,-54.0439,84.38,59,85
20,Cherskiy,RU,2022-03-30 18:38:56,68.75,161.3,-18.04,100,99
21,Hermanus,ZA,2022-03-30 18:38:57,-34.4187,19.2345,64.8,79,100
22,Busselton,AU,2022-03-30 18:38:57,-33.65,115.3333,66.56,80,28
23,Bengkulu,ID,2022-03-30 18:38:58,-3.8004,102.2655,75.94,87,72
24,Barrow,US,2022-03-30 18:38:58,71.2906,-156.7887,-11.18,77,0
25,Calabozo,VE,2022-03-30 18:38:59,8.9242,-67.4293,98.42,25,62
26,Atuona,PF,2022-03-30 18:39:00,-9.8,-139.0333,78.35,81,49
27,Ribeira Grande,PT,2022-03-30 18:39:00,38.5167,-28.7,64.8,82,75
28,Rikitea,PF,2022-03-30 18:39:01,-23.1203,-134.9692,78.84,72,100
29,Soverato,IT,2022-03-30 18:39:01,38.685,16.5499,58.95,90,100
30,Batemans Bay,AU,2022-03-30 18:39:02,-35.7167,150.1833,61.11,84,80
31,Asau,RO,2022-03-30 18:39:03,46.4333,26.4,61.72,54,100
32,Baykit,RU,2022-03-30 18:39:03,61.67,96.37,29.59,97,100
33,Iskateley,RU,2022-03-30 18:39:04,67.6803,53.1512,-6.47,100,96
34,Ocos,GT,2022-03-30 18:39:04,14.5094,-92.1933,91.58,61,65
35,Tabas,IR,2022-03-30 18:39:05,33.5959,56.9244,64.24,16,0
36,Ushuaia,AR,2022-03-30 18:34:11,-54.8,-68.3,53.22,53,75
37,Esperance,AU,2022-03-30 18:39:07,-33.8667,121.9,62.44,74,100
38,Tuktoyaktuk,CA,2022-03-30 18:38:31,69.4541,-133.0374,-18.4,76,40
39,Palu,ID,2022-03-30 18:39:07,-0.8917,119.8707,76.24,93,100
